Date,Team,Relinquished,Notes
2014-03-29,Athletics,• A.J. Griffin,placed on 15-day DL with strained flexor muscle in right elbow
2014-03-29,Athletics,• Craig Gentry,placed on 15-day DL with strained lower back
2014-03-29,Athletics,• Fernando Rodriguez Jr.,"placed on 15-day DL recovering from ligament replacement (""Tommy John"") surgery on elbow"
2014-03-29,Braves,• Brandon Beachy,"transferred to 60-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2014-03-29,Braves,• Cory Gearrin,placed on 15-day DL with sprained right elbow
2014-03-29,Braves,• Jonny Venters,"transferred to 60-day DL recovering from ligament replacement (""Tommy John"") surgery on left elbow"
2014-03-29,Cardinals,• Jaime Garcia (Omar),placed on 15-day DL with left shoulder inflammation
2014-03-29,Cardinals,• Jason Motte,"placed on 15-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2014-03-29,Diamondbacks,• David Hernandez (Jose),"placed on 15-day DL with ligament replacement (""Tommy John"") surgery on right elbow"
2014-03-29,Diamondbacks,• Patrick Corbin,"placed on 15-day DL recovering from ligament replacement (""Tommy John"") surgery on left elbow"
2014-03-29,Dodgers,• Clayton Kershaw,placed on 15-day DL with back muscle inflammation / strained left shoulder
2014-03-29,Giants,• Jeremy Affeldt,placed on 15-day DL with strained ligament in right knee
2014-03-29,Giants,• Marco Scutaro,placed on 15-day DL with strained lower back
2014-03-29,Mariners,• Hisashi Iwakuma,placed on 15-day DL with torn tendon in right middle finger
2014-03-29,Mariners,• Stephen Pryor,placed on 15-day DL recovering from surgery to repair torn latissimus dorsi muscle in right shoulder
2014-03-29,Mariners,• Taijuan Walker,placed on 15-day DL with right shoulder impingement
2014-03-29,Nationals,• Doug Fister,placed on 15-day DL with strained right lat
2014-03-29,Padres,• Cameron Maybin,placed on 15-day DL with ruptured left biceps tendon
2014-03-29,Padres,• Carlos Quentin,placed on 15-day DL with bone bruise in left knee
2014-03-29,Padres,• Casey Kelly,"placed on 15-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2014-03-29,Padres,• Joe Wieland,"placed on 15-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2014-03-29,Padres,• Josh Johnson (Michael),placed on 15-day DL with strained flexor in right forearm
2014-03-29,Phillies,• Miguel Alfredo Gonzalez / Miguel Gonzalez (Alfredo),transferred to 60-day DL with sore right shoulder
2014-03-29,Pirates,• Chris Stewart,placed on 15-day DL with surgery on right knee
2014-03-29,Pirates,• Jeff Locke,placed on 15-day DL with strained right oblique
2014-03-29,Royals,• Louis Coleman,placed on 15-day DL with bone bruise in / sprained right middle finger
2014-03-29,Royals,• Luke Hochevar,"placed on 15-day DL with ligament replacement (""Tommy John"") surgery on left elbow"
2014-03-29,Tigers,• Andy Dirks,placed on 15-day DL recovering from surgery on back
2014-03-29,Tigers,• Bruce Rondon,placed on 60-day DL with surgery on right elbow
2014-03-29,Tigers,• Jose Iglesias,placed on 60-day DL with stress fracture in both shins
2014-03-30,Astros,• Alex Wojchiechowski,placed on 15-day DL
2014-03-30,Astros,• Jesse Crain,placed on 15-day DL recovering from surgery on right biceps
2014-03-30,Blue Jays,• Casey Janssen,placed on 15-day DL with strained lower back / strained left abdominal (CBS)
2014-03-30,Brewers,• Tom Gorzelanny,placed on 15-day DL recovering from surgery on left shoulder
2014-03-30,Cardinals,• Mark Ellis,placed on 15-day DL with left knee tendinitis
2014-03-30,Cubs,• Jake Arrieta,placed on 15-day DL with tightness in right shoulder
2014-03-30,Cubs,• James McDonald (a),placed on 60-day DL with right shoulder inflammation
2014-03-30,Cubs,• Kyuji Fujikawa,"placed on 15-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow (out indefinitely) (date approximate)"
2014-03-30,Indians,• Jason Giambi,placed on 15-day DL with fractured rib
2014-03-30,Indians,• Michael Bourn,placed on 15-day DL recovering from surgery on left hamstring (CBS) / strained left hamstring (MLB)
2014-03-30,Marlins,• Ed Lucas (Lee),placed on 15-day DL with fractured left hand
2014-03-30,Marlins,• Rafael Furcal,placed on 15-day DL with strained left hamstring
2014-03-30,Mets,• Jonathon Niese / Jon Niese,placed on 15-day DL with left elbow inflammation
2014-03-30,Mets,• Matt Harvey,"placed on 60-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2014-03-30,Orioles,• Edgmer Escalona,placed on 60-day DL with right shoulder inflammation/impingement
2014-03-30,Orioles,• Francisco Peguero,placed on 15-day DL with strained right wrist / right wrist tendinitis
2014-03-30,Orioles,• Manny Machado,placed on 15-day DL recovering from surgery on left knee to repair torn ligaments
2014-03-30,Orioles,• Michael Almanzar,placed on 15-day DL with patella tendinitis in left knee
2014-03-30,Orioles,• Nolan Reimold,placed on 15-day DL recovering from cervical spine fusion surgery
2014-03-30,Rangers,• Geovany Soto,placed on 60-day DL recovering from surgery on right knee
2014-03-30,Rangers,• Jurickson Profar,placed on 15-day DL with torn muscle in right shoulder
2014-03-30,Rangers,• Matt Harrison (Reid),placed on 15-day DL recovering from surgery on back to repair inflamed nerve
2014-03-30,Rangers,• Yu Darvish,placed on 15-day DL with stiff neck
2014-03-30,Rays,• Jeremy Hellickson,placed on 15-day DL recovering from surgery on right elbow
2014-03-30,Rays,• Juan Carlos Oviedo / Leo Nunez,"placed on 15-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2014-03-30,Rays,• Tim Beckham,placed on 15-day DL recovering from surgery on right knee to repair torn ACL
2014-03-30,Reds,• Aroldis Chapman,"placed on 15-day DL with facial fractures, concussion"
2014-03-30,Reds,• Brett Marshall,placed on 60-day DL with strained tendon in right middle finger
2014-03-30,Reds,• Devin Mesoraco,placed on 15-day DL with strained left oblique
2014-03-30,Reds,• Jack Hannahan,placed on 60-day DL recovering from surgery on right shoulder
2014-03-30,Reds,• Jared Schumaker / Skip Schumaker,placed on 15-day DL with dislocated left shoulder
2014-03-30,Reds,• Jonathan Broxton,placed on 15-day DL recovering from surgery on right elbow/forearm
2014-03-30,Reds,• Mat Latos,placed on 15-day DL recovering from surgery on left knee
2014-03-30,Reds,• Sean Marshall,placed on 15-day DL with left shoulder inflammation
2014-03-30,White Sox,• Gordon Beckham,placed on 15-day DL with strained left oblique
2014-03-30,White Sox,• Jeff Keppinger,placed on 15-day DL recovering from surgery on right shoulder
2014-03-30,Diamondbacks,• Daniel Hudson,"placed on 15-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2014-03-31,Blue Jays,• Jonathan Diaz,placed on 15-day DL with left hamstring injury
2014-03-31,Blue Jays,• Jose Reyes (Bernabe),placed on 15-day DL with tightness in left hamstring
2014-03-31,Red Sox,• Shane Victorino,placed on 15-day DL with strained right hamstring
2014-03-31,Yankees,• Brendan Ryan,placed on 15-day DL with pinched nerve in neck
2014-04-01,Dodgers,• Brian Wilson,placed on 15-day DL with nerve imflammation in right elbow
2014-04-02,Braves,• Cory Gearrin,transferred to 60-day DL with sprained right elbow
2014-04-02,Mets,• Bobby Parnell,placed on 15-day DL with torn MCL in right elbow
2014-04-02,Nationals,• Wilson Ramos,placed on 15-day DL with surgery to repair fractured left hand
2014-04-02,Padres,• Joe Wieland,"transferred to 60-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2014-04-02,Rockies,• Tyler Chatwood,placed on 15-day DL with strained left hamstring
2014-04-03,Mets,• Chris Young (Brandon),placed on 15-day DL with strained right quadriceps
2014-04-03,Athletics,• Jake Elmore,placed on 15-day DL with strained left quadriceps
2014-04-04,Diamondbacks,• Patrick Corbin,"transferred to 60-day DL recovering from ligament replacement (""Tommy John"") surgery on left elbow"
2014-04-04,White Sox,• Nate Jones (Andrew),placed on 15-day DL with strained left hip
2014-04-04,Dodgers,,activated from 15-day DL
2014-04-05,Yankees,• Mark Teixeira,placed on 15-day DL with strained right hamstring
2014-04-05,Mets,,activated from 15-day DL
2014-04-06,Nationals,• Scott Hairston,placed on 15-day DL with strained left oblique
2014-04-06,Red Sox,• Will Middlebrooks,placed on 15-day DL with strained right calf
2014-04-06,Rangers,,activated from 15-day DL
2014-04-07,Orioles,• Nolan Reimold,transferred to 60-day DL recovering from cervical spine fusion surgery
2014-04-07,Rangers,• Joe Saunders,placed on 15-day DL with bruised left ankle
2014-04-07,Red Sox,• Steven Wright,transferred to 60-day DL recovering from surgery to repair sports hernia
2014-04-07,Royals,• Francisley Bueno,placed on 15-day DL with sprained left middle finger
2014-04-07,Royals,• Tim Collins (Michael),placed on 15-day DL with strained flexor in left elbow
2014-04-07,Twins,• Jason Bartlett,placed on 15-day DL with sprained left ankle
2014-04-07,Athletics,,activated from 15-day DL
2014-04-07,Reds,,activated from 15-day DL
2014-04-07,Rockies,,activated from 15-day DL
2014-04-08,Dodgers,• A.J. Ellis,placed on 15-day DL with surgery on left knee
2014-04-08,Rays,• Matt Moore,placed on 15-day DL with left elbow injury
2014-04-08,Reds,• Trevor Bell,placed on 15-day DL with right elbow inflammation
2014-04-08,Yankees,• David Robertson,placed on 15-day DL with strained left groin
2014-04-08,Reds,,activated from 15-day DL
2014-04-09,Angels,• Josh Hamilton,placed on 15-day DL with surgery on left thumb to repair torn ulnar collateral ligament and capsule
2014-04-09,Mariners,• James Paxton,placed on 15-day DL with strained left latissimus dorsi muscle in back
2014-04-09,Marlins,• Jacob Turner,placed on 15-day DL with strained right shoulder
2014-04-09,Twins,• Oswaldo Arcia,placed on 15-day DL with strained right wrist
2014-04-09,Dodgers,,activated from 15-day DL
2014-04-09,Red Sox,,activated from 15-day DL
2014-04-09,Royals,,activated from 15-day DL
2014-04-10,White Sox,• Avisail Garcia,placed on 15-day DL with surgery on left shoulder to repair torn labrum
2014-04-10,Pirates,,activated from 15-day DL
2014-04-11,Angels,,activated from 15-day DL
2014-04-11,Phillies,,activated from 15-day DL
2014-04-12,Nationals,• Denard Span,placed on 7-day DL with concussion
2014-04-12,Rangers,• Jurickson Profar,transferred to 60-day DL with torn muscle in right shoulder
2014-04-12,Twins,• Josh Willingham,placed on 15-day DL with fractured left wrist
2014-04-12,Athletics,,activated from 15-day DL
2014-04-12,Nationals,• Jeff Kobernus (Gilbert),placed on 60-day DL with fractured left hand
2014-04-13,Angels,• Brian Moran,transferred to 60-day DL with surgery on left elbow
2014-04-13,Blue Jays,• Maicer Izturis,placed on 15-day DL with sprained left knee
2014-04-13,Brewers,• Brandon Kintzler,placed on 15-day DL with strained right rotator cuff
2014-04-13,Nationals,• Ryan Zimmerman (Wallace),placed on 15-day DL with fractured right thumb
2014-04-13,Rangers,• Adrian Beltre,placed on 15-day DL with strained left quadriceps
2014-04-13,Rays,• Alex Cobb,placed on 15-day DL with strained left oblique muscle
2014-04-13,Blue Jays,,activated from 15-day DL
2014-04-13,Rockies,,activated from 15-day DL
2014-04-14,Diamondbacks,• David Hernandez (Jose),"transferred to 60-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2014-04-14,Rockies,• Brett Anderson (Franklin),placed on 15-day DL with fractured left index finger
2014-04-14,Yankees,• Francisco Cervelli,placed on 15-day DL with hamstring injury
2014-04-15,Angels,• Dane De La Rosa,placed on 15-day DL with right shoulder irritation
2014-04-15,Mets,• Juan Lagares,placed on 15-day DL with strained right hamstring
2014-04-15,Yankees,• Francisco Cervelli,transferred to 60-day DL with strained right hamstring
2014-04-15,Cardinals,,activated from 15-day DL
2014-04-15,Dodgers,,activated from 15-day DL
2014-04-15,Indians,,activated from 15-day DL
2014-04-15,Phillies,,activated from 15-day DL
2014-04-16,Angels,• Kole Calhoun,placed on 15-day DL with sprained right ankle
2014-04-16,Angels,• Ryan Brasier,transferred to 60-day DL with strained right elbow
2014-04-16,Mariners,• Blake Beavan,placed on 15-day DL with right shoulder tendinitis
2014-04-16,Mariners,• Logan Morrison,placed on 15-day DL with strained right hamstring
2014-04-16,Giants,,activated from 15-day DL
2014-04-17,Cardinals,• Joe Kelly (William),placed on 15-day DL with strained left hamstring
2014-04-17,Mariners,• Ji Man Choi / Ji-Man Choi,placed on restricted list
2014-04-17,Royals,• Lorenzo Cain,placed on 15-day DL with strained left groin
2014-04-17,Mariners,,activated from 15-day DL
2014-04-18,Blue Jays,• Adam Lind,placed on 15-day DL with tightness in lower back
2014-04-18,Blue Jays,• Maicer Izturis,transferred to 60-day DL with surgery on left knee to repair torn ligament
2014-04-18,Rangers,• Tanner Scheppers,placed on 15-day DL with right elbow inflammation
2014-04-18,Diamondbacks,,activated from 15-day DL
2014-04-18,Mets,,activated from 15-day DL
2014-04-19,Rangers,• Jim Adduci (Charles),placed on 15-day DL with fractured left pinky finger
2014-04-19,White Sox,• Felipe Paulino Del Guidice / Felipe Paulino,placed on 15-day DL with right rotator cuff inflammation
2014-04-19,Blue Jays,,activated from 15-day DL
2014-04-19,Nationals,,activated from 7-day DL
2014-04-19,Pirates,,activated from 15-day DL
2014-04-19,Reds,,activated from 15-day DL
2014-04-20,Brewers,• Logan Schafer,placed on 15-day DL with strained right hamstring
2014-04-20,Yankees,• Ivan Nova,placed on 15-day DL with torn ulnar collateral ligament in right elbow
2014-04-20,Yankees,,activated from 15-day DL
2014-04-21,Astros,• Scott Feldman,placed on 15-day DL with right biceps tendinitis
2014-04-21,Pirates,• Wandy Rodriguez,placed on 15-day DL with right knee inflammation
2014-04-21,Rockies,• Michael Cuddyer,placed on 15-day DL with strained left hamstring
2014-04-21,Tigers,• Andy Dirks,transferred to 60-day DL recovering from surgery on back
2014-04-21,Tigers,• Luke Putkonen,placed on 15-day DL with right elbow inflammation
2014-04-21,Indians,,activated from 15-day DL
2014-04-21,Rays,,activated from 15-day DL
2014-04-21,Twins,,activated from 15-day DL
2014-04-22,Giants,• David Huff (Gregory),placed on 15-day DL with strained left quadriceps
2014-04-22,White Sox,• Chris Sale,placed on 15-day DL with strained flexor muscle in left elbow
2014-04-22,Yankees,,activated from 15-day DL
2014-04-23,Rangers,• Pedro Figueroa (Jose) (b. 1985-11-23),placed on 15-day DL with left elbow inflammation
2014-04-23,Phillies,,activated from 15-day DL
2014-04-24,Cubs,• Justin Ruggiano,placed on 15-day DL with strained left hamstring
2014-04-24,Diamondbacks,• Mark Trumbo,placed on 15-day DL with stress fracture in left (MLB) / right (CBS) foot
2014-04-24,Yankees,• Ivan Nova,transferred to 60-day DL with surgery to repair torn ulnar collateral ligament in right elbow
2014-04-24,Brewers,,activated from 15-day DL
2014-04-24,Red Sox,,activated from 15-day DL
2014-04-24,Red Sox,,activated from 15-day DL
2014-04-24,White Sox,,activated from 15-day DL
2014-04-25,Astros,• Matt Albers,placed on 15-day DL with right shoulder tendinitis
2014-04-25,Padres,• Chase Headley,placed on 15-day DL with strained right calf
2014-04-25,Padres,• Josh Johnson (Michael),transferred to 60-day DL with strained flexor in right forearm
2014-04-25,Pirates,• Jason Grilli,placed on 15-day DL with strained left oblique
2014-04-25,Rangers,• Kevin Kouzmanoff,placed on 15-day DL with herniated disc in back
2014-04-25,Rockies,• Brett Anderson (Franklin),transferred to 60-day DL with fractured left index finger
2014-04-25,Rangers,,activated from 15-day DL
2014-04-26,Cubs,• Jose Veras,placed on 15-day DL with strained left oblique
2014-04-26,Pirates,• Russell Martin,placed on 15-day DL with strained left hamstring
2014-04-26,Reds,• Devin Mesoraco,placed on 15-day DL with strained left hamstring
2014-04-26,Tigers,• Anibal Sanchez,placed on 15-day DL with lacerated right middle finger
2014-04-26,White Sox,• Conor Gillaspie,placed on 15-day DL with sore/bruised left hand
2014-04-27,Nationals,• Bryce Harper,placed on 15-day DL with surgery on left thumb
2014-04-27,Orioles,• Chris Davis (Lyn),placed on 15-day DL with strained left oblique
2014-04-27,White Sox,• Avisail Garcia,transferred to 60-day DL with surgery on left shoulder to repair torn labrum
2014-04-27,Yankees,• Bruce Billings,placed on 15-day DL with strained right forearm
2014-04-27,Padres,,activated from 15-day DL
2014-04-27,Rangers,,activated from 15-day DL
2014-04-29,Athletics,,activated from 15-day DL
2014-04-29,Braves,,activated from 15-day DL
2014-04-29,Marlins,,activated from 15-day DL
2014-04-30,Dodgers,• Chad Billingsley,"transferred to 60-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2014-04-30,Rockies,• Tyler Chatwood,placed on 15-day DL with strained right elbow
2014-05-01,Reds,• Tony Cingrani,placed on 15-day DL with left shoulder tendinitis
2014-05-01,Mets,,activated from 15-day DL
2014-05-01,Orioles,,activated from 15-day DL
2014-05-02,Astros,• Jesse Crain,transferred to 60-day DL recovering from surgery on right biceps
2014-05-02,Brewers,• Jim Henderson,placed on 15-day DL with right shoulder inflammation
2014-05-02,Dodgers,• Hyun Jin Ryu / Hyun-Jin Ryu,placed on 15-day DL with left shoulder inflammation
2014-05-02,Indians,• Jason Kipnis,placed on 15-day DL with strained right oblique
2014-05-02,Rockies,• Josh Rutledge,placed on 15-day DL with viral infection
2014-05-02,Royals,• Bruce Chen,placed on 15-day DL with inflamed disc in lower back
2014-05-02,Twins,• Aaron Hicks,placed on 7-day DL with concussion
2014-05-02,Tigers,• Joel Hanrahan,"placed on 15-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2014-05-03,Angels,• David Freese,placed on 15-day DL with fractured right middle finger
2014-05-03,Blue Jays,• Brandon Morrow,placed on 60-day DL with torn tendon sheath in right hand
2014-05-03,Brewers,• Ryan Braun (Joseph),placed on 15-day DL with strained right oblique muscle
2014-05-03,Cubs,• Kyuji Fujikawa,"transferred to 60-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow (out indefinitely) (date approximate)"
2014-05-03,Cubs,• Ryan Sweeney,placed on 15-day DL with strained right hamstring
2014-05-03,Pirates,• Stolmy Pimentel,placed on 15-day DL with right shoulder inflammation
2014-05-03,Twins,• Mike Pelfrey,placed on 15-day DL with strained left groin
2014-05-03,White Sox,• Adam Eaton (Cory),placed on 15-day DL with strained right hamstring
2014-05-03,White Sox,• Nate Jones (Andrew),transferred to 60-day DL with strained left hip
2014-05-03,Brewers,,activated from 15-day DL
2014-05-03,Cubs,,activated from 15-day DL
2014-05-03,Mariners,,activated from 15-day DL
2014-05-03,Marlins,,activated from 15-day DL
2014-05-03,Reds,,activated from 15-day DL
2014-05-04,Athletics,• A.J. Griffin,"transferred to 60-day DL with ligament replacement (""Tommy John"") surgery on right elbow"
2014-05-04,Giants,• Matt Cain,placed on 15-day DL with lacerated right finger
2014-05-04,Rockies,• Wilin Rosario,placed on 15-day DL with viral infection
2014-05-04,Braves,,activated from 15-day DL
2014-05-04,Rockies,,activated from 15-day DL
2014-05-04,Royals,,activated from 15-day DL
2014-05-05,Diamondbacks,• J.J. Putz,placed on 15-day DL with tightness in right forearm
2014-05-05,Indians,• Jason Giambi,placed on 15-day DL with strained right calf
2014-05-05,Reds,• Jay Bruce,placed on 15-day DL recovering from surgery on left knee to repair torn meniscus
2014-05-05,Rockies,• Tyler Chatwood,transferred to 60-day DL with strained right elbow
2014-05-05,Nationals,,activated from 15-day DL
2014-05-05,Royals,,activated from 15-day DL
2014-05-06,Dodgers,,activated from 15-day DL
2014-05-06,Yankees,• Michael Pineda,placed on 15-day DL with strained muscle in right shoulder
2014-05-06,Yankees,,activated from 15-day DL
2014-05-07,Cubs,• Pedro Strop,placed on 15-day DL with strained left groin
2014-05-07,Rangers,• Pedro Figueroa (Jose) (b. 1985-11-23),transferred to 60-day DL with torn ulnar collateral ligament in left elbow
2014-05-07,Nationals,,activated from 15-day DL
2014-05-07,White Sox,,activated from 15-day DL
2014-05-08,Rangers,• Donnie Murphy,placed on 15-day DL with strained neck
2014-05-08,Twins,• Sam Fuld,placed on 7-day DL with concussion
2014-05-08,Blue Jays,,activated from 15-day DL
2014-05-09,Astros,• Jose Cisnero,placed on 15-day DL with right elbow injury
2014-05-09,Athletics,• Ryan Cook (William),placed on 15-day DL with strained right forearm
2014-05-09,Astros,,activated from 15-day DL
2014-05-09,Nationals,,activated from 15-day DL
2014-05-09,Twins,,activated from 7-day DL
2014-05-10,Braves,• Jordan Walden,placed on 15-day DL with strained left hamstring
2014-05-10,Giants,• Brandon Belt,placed on 15-day DL with fractured left thumb
2014-05-10,Giants,• Marco Scutaro,transferred to 60-day DL with strained lower back
2014-05-10,Giants,,activated from 15-day DL
2014-05-10,Padres,,activated from 15-day DL
2014-05-10,Reds,,activated from 15-day DL
2014-05-11,Blue Jays,• Sergio Santos,placed on 15-day DL with strained right elbow/forearm
2014-05-11,Nationals,• Adam LaRoche,placed on 15-day DL with strained right quadriceps
2014-05-11,Orioles,• Matt Wieters,placed on 15-day DL with strained right elbow
2014-05-11,Yankees,• C.C. Sabathia,placed on 15-day DL with fluid in right knee
2014-05-11,Blue Jays,,activated from 15-day DL
2014-05-11,Orioles,,activated from 15-day DL
2014-05-12,Angels,• Ian Stewart (Kenneth),placed on 15-day DL with bruised left hand
2014-05-12,Marlins,• Jose Fernandez (D.),placed on 15-day DL with sprained right elbow
2014-05-12,Mets,• Gonzalez Germen,placed on 15-day DL with illness/flu
2014-05-12,Giants,,activated from 15-day DL
2014-05-13,Brewers,• Aramis Ramirez,placed on 15-day DL with strained left hamstring
2014-05-13,Cardinals,• Tyler Lyons,placed on 15-day DL with strained left shoulder
2014-05-13,Royals,• Omar Infante,placed on 15-day DL with disc irritation in lower back
2014-05-13,Yankees,• Shawn Kelley,placed on 15-day DL with strained lumbar spine
2014-05-13,Brewers,,activated from 15-day DL
2014-05-13,Padres,,activated from 15-day DL
2014-05-13,Rockies,,activated from 15-day DL
2014-05-14,Astros,• Anthony Bass,placed on 15-day DL with chest injury / strained right intercostal
2014-05-14,Cubs,• Zac Rosscup,placed on 15-day DL with sore left shoulder
2014-05-14,Mets,• Bobby Parnell,"transferred to 60-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2014-05-14,Mets,• Dillon Gee,placed on 15-day DL with tightness in right lat
2014-05-14,Rangers,• Martin Perez,placed on 15-day DL with left elbow inflammation
2014-05-14,Rangers,• Matt Harrison (Reid),placed on 15-day DL with lower back inflammation
2014-05-14,Cubs,,activated from 15-day DL
2014-05-14,Dodgers,,activated from 15-day DL
2014-05-14,Twins,,activated from 15-day DL
2014-05-14,White Sox,,activated from 15-day DL
2014-05-15,Blue Jays,• Colby Rasmus,placed on 15-day DL with tightness in right hamstring
2014-05-15,Indians,• Nyjer Morgan,placed on 15-day DL with sprained right knee
2014-05-15,Mets,• Travis d'Arnaud,placed on 7-day DL with concussion
2014-05-15,Rays,• Ben Zobrist,placed on 15-day DL with dislocated left thumb
2014-05-15,Reds,• Mat Latos,transferred to 60-day DL recovering from surgery on left knee
2014-05-15,Yankees,• Carlos Beltran,placed on 15-day DL with hyperextended right elbow
2014-05-15,Phillies,,activated from 15-day DL
2014-05-15,Pirates,,activated from 15-day DL
2014-05-15,Yankees,,activated from 15-day DL
2014-05-16,Nationals,• Eury Perez,placed on 60-day DL with fractured left toe
2014-05-16,Reds,,activated from 15-day DL
2014-05-17,Padres,• Andrew Cashner,placed on 15-day DL with sore right elbow
2014-05-17,Red Sox,• Will Middlebrooks,placed on 15-day DL with fractured right index finger
2014-05-17,Phillies,,activated from 15-day DL
2014-05-18,Athletics,• Jake Elmore,transferred to 60-day DL with strained left quadriceps
2014-05-18,Nationals,• Gio Gonzalez,placed on 15-day DL with left shoulder inflammation
2014-05-18,White Sox,• Jose Abreu (Dariel),placed on 15-day DL with left ankle tendinitis
2014-05-18,Cardinals,,activated from 15-day DL
2014-05-18,Reds,,activated from 15-day DL
2014-05-18,Rockies,,activated from 15-day DL
2014-05-18,Tigers,,activated from 15-day DL
2014-05-18,White Sox,,activated from 15-day DL
2014-05-20,Mariners,• Corey Hart,placed on 15-day DL with strained left hamstring
2014-05-20,Phillies,• Cliff Lee (Phifer),placed on 15-day DL with strained left elbow
2014-05-20,Rangers,• Martin Perez,transferred to 60-day DL with left elbow inflammation
2014-05-20,White Sox,• Matt Lindstrom,placed on 15-day DL with left ankle injury
2014-05-20,Angels,,activated from 15-day DL
2014-05-20,Cardinals,,activated from 15-day DL
2014-05-20,Indians,,activated from 15-day DL
2014-05-20,Rockies,,activated from 15-day DL
2014-05-21,Dodgers,• Juan Uribe (Cespedes),placed on 15-day DL with strained right hamstring
2014-05-21,Red Sox,• Felix Doubront,placed on 15-day DL with strained left shoulder
2014-05-21,Reds,• Joey Votto,placed on 15-day DL with strained left quadriceps
2014-05-21,Angels,,activated from 15-day DL
